,index,name,year,unique_words_pct,indef_words_pct,word_counts_avg,adj_pct,verb_pct,adj_verb_ratio,adj_noun_ratio,unique_verbs_pct,2_grams_avg,3_grams_avg,4_grams_avg,5_grams_avg
0,0,11/22/63,2011,0.06434989475,0.0156678607717,24.4622497455,0.0839446340354,0.214437227258,0.391464836161,0.250536197196,0.0421901308121,2.61280852452,1.28993137878,1.06521907773,1.0181737933
1,1,Bag of Bones: A Novel,1998,0.0685033198082,0.0167650313537,22.1826736218,0.0875549467023,0.214657681468,0.407881731058,0.269906722785,0.0474021229963,2.50892495633,1.26227628554,1.05561937211,1.01499969579
2,2,Black House,2001,0.0722983794988,0.0156789774512,21.9562144458,0.0927893335846,0.198609377086,0.467195129183,0.275685890258,0.0519303378338,2.35532070308,1.2202358712,1.0428038661,1.01090144255
3,3,Blaze: A Novel,2007,0.105652441042,0.0146037147313,14.1579123453,0.0833185542511,0.216093829438,0.385566559063,0.252363558229,0.0814137987635,2.0014898548,1.15776801959,1.03052626452,1.00895315983
4,4,Carrie,1974,0.13699001996,0.0157924151697,10.7769747031,0.0877313556884,0.20958667647,0.418592236712,0.258988392941,0.104400213529,1.79835166413,1.12404867892,1.0251784428,1.0070761165
5,5,Cell,2006,0.0828005637883,0.0174821090666,18.1456831991,0.0822654150275,0.219686051494,0.374468085106,0.254041570439,0.0608865248227,2.28226136101,1.22298835249,1.04927972022,1.01509043192
6,6,Cujo,1981,0.0885719829259,0.0151742982797,16.7996740459,0.0904489703516,0.215470193964,0.419774859287,0.28315067453,0.0651031894934,2.21413740021,1.20314369365,1.04116934058,1.01144800968
7,7,Desperation,1996,0.066709703049,0.0161336776244,22.9676094891,0.0836513236346,0.21726687336,0.385016465423,0.263074831633,0.0482757043542,2.55531164349,1.27284449248,1.06062696849,1.01679373895
8,8,Doctor Sleep: A Novel,2013,0.0743895780618,0.0168141229239,20.6239254147,0.0858870849359,0.223199553742,0.384799536988,0.261940151502,0.0512469746396,2.37512375375,1.22285160457,1.04361838356,1.01117265371
9,9,Dolores Claiborne,1992,0.0688060247275,0.0175918879654,19.8398039216,0.0830874097038,0.21355113721,0.389075004653,0.26053902477,0.0634189465848,2.52368243833,1.27009690701,1.05636817323,1.01382779387
10,10,Dreamcatcher: A Novel,2001,0.0693860312879,0.017306913967,22.7467227059,0.0881339371773,0.209866599768,0.419952185219,0.276447119566,0.0486326650449,2.46710804797,1.24515072335,1.04974761353,1.01328887363
11,11,Duma Key: A Novel,2008,0.0646054683251,0.0165264532038,23.8891174878,0.0879527580483,0.221333260765,0.39737704918,0.269944457591,0.0439754098361,2.59568435048,1.27918870025,1.06023164168,1.01594289662
12,12,Finders Keepers,2015,0.0871000761943,0.0171937412935,17.5796238669,0.0840685482008,0.218585923907,0.384601838481,0.258015736125,0.0605078716585,2.1838809984,1.18815041059,1.03641425301,1.00985550953
13,13,Firestarter,1980,0.0797894321917,0.0168288945826,18.8528107395,0.087621095216,0.219291270967,0.399564902103,0.27498852135,0.0577519941987,2.3142159315,1.21844788052,1.04516609187,1.01316009843
14,14,From a Buick 8: A Novel,2002,0.0794911829537,0.0198153930933,19.0211093318,0.0807705564705,0.211864731339,0.381236442516,0.253778398152,0.0606290672451,2.29622144112,1.21869636594,1.04427997091,1.01134015032
15,15,Gerald's Game,1992,0.0843879592509,0.0173850387484,17.3965862115,0.100972154073,0.210569492149,0.479519388312,0.337830904987,0.0653194975423,2.29607335833,1.22886425079,1.05258316725,1.01606822961
16,16,Insomnia,1994,0.0617930423502,0.0157172011201,24.7837678886,0.0918506620669,0.214306342946,0.428595163375,0.287787887052,0.0435480893483,2.6285242016,1.2900496954,1.0658907049,1.01910519952
17,17,It,1986,0.0489239076819,0.016699550871,32.3825136612,0.0879601045911,0.212966874419,0.413022470424,0.270288441696,0.0316254183324,2.92570954756,1.32660025428,1.06833063299,1.01746013577
18,18,Joyland,2013,0.101741616247,0.0163140190349,14.6984475194,0.0858875274176,0.21584997531,0.397903809321,0.253036505735,0.0721430091509,2.07608151591,1.17858544308,1.03859866687,1.01261422559
19,19,Lisey's Story: A Novel,2006,0.0689864621403,0.0168270963093,22.4615562493,0.0899172174343,0.212895947415,0.422352884243,0.283162727317,0.0509581881533,2.52809588257,1.25916659645,1.05657411688,1.01779754701
20,20,Misery,1987,0.0927200135916,0.0158002038736,15.9361039664,0.0881585545159,0.217409041075,0.40549626676,0.280063718343,0.0690747038818,2.20365031823,1.20607761977,1.04348866689,1.01332552854
21,21,Mr. Mercedes,2014,0.0848718999937,0.0157944840909,18.2466083428,0.0852423229072,0.216495060381,0.393737957611,0.251946984486,0.0594412331407,2.25140801001,1.20157472426,1.04014340026,1.01127172301
22,22,Needful Things: The Last Castle Rock Story,1991,0.0596072556049,0.0157923300949,26.0188941925,0.0890296536143,0.21251820618,0.418927183767,0.270695306507,0.0433155849763,2.62777571332,1.28424317983,1.0611134994,1.01666977525
23,23,Pet Sematary,1983,0.0788999639726,0.0153783542159,18.7451225613,0.0880032571551,0.218296134131,0.403137039075,0.278293722825,0.0604476242891,2.30532014704,1.21356684237,1.04323041372,1.01319543027
24,24,Revival,2014,0.093306804616,0.0163231197772,16.2108115082,0.0894763235189,0.216331956285,0.413606593568,0.269387461656,0.0659356832732,2.13659706162,1.18439756424,1.03511142233,1.00862961685
25,25,Roadwork,1981,0.1069815728,0.0155618998183,13.8397988506,0.0803450784742,0.21322107889,0.37681583309,0.237787621509,0.0778980208638,2.03614687044,1.17584657829,1.03624412337,1.00933668658
