,index,name,year,unique_words_pct,indef_words_pct,word_counts_avg,adj_pct,verb_pct,adj_verb_ratio,adj_noun_ratio,unique_verbs_pct,2_grams_avg,3_grams_avg,4_grams_avg,5_grams_avg
0,0,A Caribbean Mystery,1964,0.0897262526954,0.0227513614268,15.9585885098,0.0833775112882,0.234009103705,0.35630028904,0.252911167794,0.0658542301383,2.15785322765,1.1978722007,1.04175075201,1.00983667067
1,1,A daughter's a daughter,1952,0.0977844661818,0.0194298135607,14.3005738881,0.0906121218213,0.23927027842,0.378701953371,0.279549330715,0.071413568578,2.10192605089,1.18257860392,1.03792283527,1.00967447829
2,2,A Murder is Announced,1950,0.0883850807792,0.0205438468187,16.4203056769,0.0792138494498,0.228247129113,0.347052993645,0.237124078869,0.0632542412406,2.17767996757,1.19244918022,1.03867296484,1.00961267369
3,3,A pocket full of rye,1953,0.105290181529,0.0173413276799,12.884336321,0.0827458071366,0.225941839054,0.366226138032,0.239980755352,0.0781938325991,2.06962155492,1.19323280036,1.0465979024,1.01857569469
4,4,Absent in the spring,1944,0.10749477456,0.0197446999104,12.886964887,0.0957305803946,0.226240035843,0.423137222543,0.310806715559,0.0764089446324,1.96996323529,1.153740149,1.03215056249,1.00934368171
5,5,After the Funeral,1953,0.088481504634,0.0202891854429,16.0318082789,0.0851954547926,0.231079758604,0.368684195047,0.262985650751,0.0638785953767,2.15173401953,1.18479398458,1.03243956167,1.00742059146
6,6,And Then There Were None,1940,0.101519424984,0.0211263761259,13.9692425013,0.0841689566689,0.227793044459,0.369497483423,0.255821671553,0.0806103698969,2.00789214074,1.17245572861,1.0385349536,1.0106860401
7,7,Appointment with death: a Hercule Poirot mystery,1938,0.100342116105,0.0160131831127,13.6802254349,0.0968435895582,0.223949670981,0.432434614143,0.295053976647,0.0844365515015,2.00100358423,1.16690355754,1.03868122872,1.01459416234
8,8,At Bertram's Hotel,1965,0.0915414922433,0.0198380940655,15.4741605144,0.0812583729847,0.228453519348,0.355688864923,0.245441860465,0.0631571852251,2.15298717651,1.19538580417,1.04093370502,1.00889765369
9,9,By the Pricking of My Thumbs,1968,0.0855539014163,0.0251580917,17.0947933691,0.0797257804605,0.233113921285,0.342003514938,0.245273506428,0.0577621558289,2.26639839034,1.22020932636,1.04430307526,1.00994592507
10,10,Cards on the Table,1936,0.0991062220694,0.0197318666208,14.2318982387,0.0880536681861,0.224683925346,0.391900168427,0.260787610169,0.0746440055122,2.05543190249,1.17197477891,1.03374320338,1.00886152779
11,11,Cat among the Pigeons,1959,0.0896470721422,0.0226700251889,15.9301172227,0.0814878794744,0.234665269597,0.347251553732,0.246635810405,0.0632353828516,2.15678793798,1.19336643361,1.03908536137,1.00913998458
12,12,Crooked House,1949,0.0957421134287,0.0195483537321,14.3660227836,0.0874116226936,0.236247628902,0.37,0.26618705036,0.0713138686131,2.09577658152,1.17801876447,1.03351387949,1.00704861111
13,13,Curtain,1943,0.100041310934,0.0173161663454,13.8225077326,0.093437343941,0.231922990822,0.402880902881,0.294203762945,0.0803385803386,2.00749853139,1.15467482907,1.02715844193,1.005991757
14,14,Dead Man's Folly,1956,0.100993716705,0.0194816281929,13.9780429594,0.0806603209324,0.224293794966,0.359619047619,0.241704219582,0.0786285714286,2.04966053055,1.17652021937,1.03499160555,1.00885443583
15,15,Death Comes as the End,1945,0.0861245557896,0.0182990561032,16.7851551957,0.0962382092526,0.233742025679,0.411728310188,0.298569220799,0.0731472569779,2.12594010666,1.1679406517,1.03228698063,1.00836725097
16,16,Death in the Clouds,1935,0.0983630470016,0.0177633711507,14.4598078275,0.0864856100527,0.220105391163,0.392928176796,0.257420008687,0.075138121547,2.01321499657,1.16194278612,1.0321711781,1.00902786864
17,17,Death on the Nile,1937,0.0843062082612,0.0176848874598,16.6412842149,0.0885438574787,0.227613509835,0.389009674965,0.264721112591,0.066365909338,2.16420427172,1.19375793545,1.04040300063,1.0113573823
18,18,Destination Unknown,1954,0.103409726104,0.0187495009183,13.6327019377,0.0930072834143,0.223389982111,0.416344916345,0.290235757364,0.0754325754326,1.95999499155,1.14570905764,1.02563598539,1.00583151266
19,19,Dumb Witness,1937,0.0881748138893,0.0191446717684,16.2753653887,0.0911588541667,0.2229296875,0.408913030781,0.276850680165,0.0675778283979,2.17971631206,1.19420569173,1.03803128969,1.01009676062
20,20,Elephants Can Remember,1972,0.0718461218149,0.0271625106104,19.9932756964,0.0741832158873,0.241079436259,0.307712748289,0.230964846672,0.047498837441,2.49771981759,1.26860637585,1.06052010259,1.01586397657
21,21,Endless Night,1967,0.0744236564733,0.0229466566721,19.1754180111,0.074117143032,0.253350878267,0.292547409107,0.231626261177,0.049885251842,2.47325009459,1.26230109686,1.0559253037,1.01410264366
22,22,Evil Under the Sun,1941,0.0937620234531,0.0205423309189,15.0728693898,0.0818868114026,0.219748581376,0.372638634979,0.242358186772,0.0729737964656,2.12680115274,1.19575523594,1.04143001498,1.01099365751
23,23,Five Little Pigs,1942,0.0889334934884,0.0177803767859,15.6265744628,0.0841724230593,0.233659485007,0.360235421459,0.257906717683,0.0687322419158,2.20794946957,1.20424827271,1.04031767433,1.01029973013
24,24,Giant's bread,1930,0.0805292109256,0.0185223823976,17.5265957447,0.0912456218617,0.238977532676,0.381816737499,0.282079873236,0.0569964650276,2.29749635021,1.21112361874,1.04137365676,1.00987500599
25,25,Hallowe'en Party,1969,0.0842356871328,0.0243491533233,17.0885826772,0.0772488906817,0.238272921109,0.324203398029,0.238693019943,0.0575004534736,2.26499461857,1.21396357025,1.04337570239,1.01000639944
